Node1791_X,Node1791_Y,Node1791_Z,Node1788_X,Node1788_Y,Node1788_Z,Node1789_X,Node1789_Y,Node1789_Z
-1.478390997E-05,-1.695618437E-05,-5.686197313E-05,-1.5905177E-05,-1.920691886E-05,-5.509198343E-05,-1.33042374E-05,-1.487807088E-05,-5.334385478E-05
-1.589104142E-05,-1.624868253E-05,3.501996657E-06,-1.582278798E-05,-1.620190072E-05,4.044581604E-06,-1.583152256E-05,-1.633934516E-05,5.830753173E-06
-1.699817281E-05,-1.554118062E-05,6.386596634E-05,-1.574039894E-05,-1.31968826E-05,6.318114661E-05,-1.835880763E-05,-1.78006194E-05,6.500536112E-05
-1.448666391E-05,-9.906430173E-07,-5.20613564E-05,-1.547770952E-05,-3.22846822E-06,-4.777194985E-05,-1.299820918E-05,9.777825283E-07,-4.715090495E-05
-1.559379538E-05,-2.831411679E-07,8.302613361E-06,-1.539532049E-05,-2.234500413E-07,1.13646152E-05,-1.552549431E-05,-4.834917273E-07,1.2023703E-05
-1.670092682E-05,4.243607191E-07,6.866658312E-05,-1.531293147E-05,2.781568111E-06,7.050118023E-05,-1.805277943E-05,-1.94476597E-06,7.119831095E-05
-1.418941789E-05,1.497489833E-05,-4.726073967E-05,-1.505024201E-05,1.27499825E-05,-4.045191623E-05,-1.269218094E-05,1.683363595E-05,-4.095795511E-05
-1.529654934E-05,1.568240019E-05,1.310323008E-05,-1.496785299E-05,1.575500065E-05,1.86846488E-05,-1.521946605E-05,1.537236172E-05,1.821665282E-05
-1.640368079E-05,1.638990207E-05,7.346719985E-05,-1.488546397E-05,1.87600188E-05,7.782121385E-05,-1.77467512E-05,1.391108745E-05,7.739126078E-05
8.098854292E-07,-1.667304322E-05,-6.516458649E-05,-5.098565176E-07,-1.898346886E-05,-6.645659865E-05,2.221256902E-06,-1.439457917E-05,-6.536755778E-05
-2.972460493E-07,-1.596554136E-05,-4.800616724E-06,-4.274674974E-07,-1.597845068E-05,-7.320033593E-06,-3.060282526E-07,-1.585585344E-05,-6.192949832E-06
-1.404377488E-06,-1.525803948E-05,5.556335303E-05,-3.450784793E-07,-1.297343253E-05,5.181653143E-05,-2.833313367E-06,-1.731712767E-05,5.298165811E-05
1.107131467E-06,-7.075018642E-07,-6.036396977E-05,-8.238901963E-08,-3.00501817E-06,-5.913656504E-05,2.527285137E-06,1.461274249E-06,-5.917460795E-05
0,0,0,0,0,0,0,0,0
-1.107131467E-06,7.075018642E-07,6.036396977E-05,8.238901967E-08,3.005018171E-06,5.913656504E-05,-2.527285137E-06,-1.461274249E-06,5.917460795E-05
1.404377488E-06,1.525803948E-05,-5.556335303E-05,3.450784793E-07,1.297343253E-05,-5.181653143E-05,2.833313367E-06,1.731712767E-05,-5.298165811E-05
