Node1506_X,Node1506_Y,Node1506_Z,Node1502_X,Node1502_Y,Node1502_Z,Node1501_X,Node1501_Y,Node1501_Z
-1.651831308E-05,-1.628768645E-05,-7.347970198E-05,-1.787828431E-05,-1.375142941E-05,-7.7351524E-05,-1.502224099E-05,-1.864672894E-05,-7.783204783E-05
-1.529793571E-05,-1.56355461E-05,-1.310749914E-05,-1.521938785E-05,-1.531184301E-05,-1.820682172E-05,-1.497375017E-05,-1.570448606E-05,-1.86847302E-05
-1.407755831E-05,-1.498340574E-05,4.72647038E-05,-1.256049126E-05,-1.68722567E-05,4.093788069E-05,-1.492525931E-05,-1.276224328E-05,4.04625874E-05
-1.681949884E-05,-3.457968276E-07,-6.868375276E-05,-1.818615433E-05,2.068434884E-06,-7.117751137E-05,-1.544632748E-05,-2.697182458E-06,-7.052618024E-05
-1.559912149E-05,3.063435477E-07,-8.311549918E-06,-1.552725789E-05,5.080213343E-07,-1.203280913E-05,-1.539783666E-05,2.450604456E-07,-1.137886268E-05
-1.437874411E-05,9.584839221E-07,5.206065298E-05,-1.286836134E-05,-1.052392299E-06,4.711189324E-05,-1.534934584E-05,3.187303298E-06,4.776845492E-05
-1.712068463E-05,1.559609283E-05,-6.388780355E-05,-1.849402441E-05,1.788829927E-05,-6.500349882E-05,-1.587041398E-05,1.325236409E-05,-6.322031273E-05
-1.590030726E-05,1.62482332E-05,-3.515600693E-06,-1.58351279E-05,1.632788567E-05,-5.858796489E-06,-1.582192316E-05,1.619460696E-05,-4.072995153E-06
-1.46799299E-05,1.690037357E-05,5.685660219E-05,-1.317623139E-05,1.476747204E-05,5.328590582E-05,-1.577343233E-05,1.913684983E-05,5.507432246E-05
-9.191915771E-07,-1.659403002E-05,-6.516815209E-05,-2.35102644E-06,-1.425945075E-05,-6.531871488E-05,3.755956778E-07,-1.889178941E-05,-6.645318512E-05
3.011857711E-07,-1.594188965E-05,-4.795949245E-06,3.078699968E-07,-1.58198643E-05,-6.174012643E-06,4.240865007E-07,-1.594954651E-05,-7.305867535E-06
1.521563149E-06,-1.528974927E-05,5.557625366E-05,2.966766559E-06,-1.738027796E-05,5.297068974E-05,4.725773213E-07,-1.300730365E-05,5.184145005E-05
-1.220377356E-06,-6.521403804E-07,-6.037220287E-05,-2.658896484E-06,1.560413581E-06,-5.91447023E-05,-4.849081682E-08,-2.942242888E-06,-5.914731758E-05
0,0,0,0,0,0,0,0,0
1.220377356E-06,6.521403805E-07,6.037220287E-05,2.658896484E-06,-1.560413581E-06,5.91447023E-05,4.849081673E-08,2.942242889E-06,5.914731758E-05
-1.521563149E-06,1.528974927E-05,-5.557625366E-05,-2.966766559E-06,1.738027796E-05,-5.297068974E-05,-4.725773213E-07,1.300730365E-05,-5.184145005E-05
-3.011857711E-07,1.594188965E-05,4.795949245E-06,-3.078699968E-07,1.58198643E-05,6.174012643E-06,-4.240865007E-07,1.594954651E-05,7.305867535E-06
9.191916004E-07,1.659403001E-05,6.516815209E-05,2.351026468E-06,1.425945071E-05,6.531871492E-05,-3.75595669E-07,1.889178938E-05,6.645318515E-05
1.46799299E-05,-1.690037357E-05,-5.685660219E-05,1.317623139E-05,-1.476747204E-05,-5.328590582E-05,1.577343233E-05,-1.913684983E-05,-5.507432246E-05
1.590030726E-05,-1.62482332E-05,3.515600697E-06,1.58351279E-05,-1.632788567E-05,5.858796482E-06,1.582192316E-05,-1.619460696E-05,4.072995152E-06
1.712068465E-05,-1.559609284E-05,6.38878036E-05,1.84940244E-05,-1.788829931E-05,6.500349885E-05,1.5870414E-05,-1.325236421E-05,6.322031277E-05
1.437874411E-05,-9.584839179E-07,-5.206065299E-05,1.286836133E-05,1.052392311E-06,-4.711189325E-05,1.534934583E-05,-3.187303288E-06,-4.776845493E-05
1.559912149E-05,-3.063435477E-07,8.311549918E-06,1.552725789E-05,-5.080213343E-07,1.203280913E-05,1.539783666E-05,-2.450604456E-07,1.137886268E-05
1.681949884E-05,3.457968276E-07,6.868375276E-05,1.818615433E-05,-2.068434884E-06,7.117751137E-05,1.544632748E-05,2.697182458E-06,7.052618024E-05
1.407755833E-05,1.498340573E-05,-4.726470378E-05,1.256049128E-05,1.687225666E-05,-4.093788066E-05,1.492525934E-05,1.276224324E-05,-4.046258738E-05
1.529793571E-05,1.56355461E-05,1.310749914E-05,1.521938785E-05,1.531184301E-05,1.820682172E-05,1.497375017E-05,1.570448606E-05,1.86847302E-05
-7.494501021E-06,4.616321427E-05,5.39373879E-05,-7.787162962E-06,4.68485452E-05,4.854934851E-05,-1.014436036E-05,4.98289121E-05,5.822921444E-05
-1.973559063E-05,2.249678708E-05,-1.95472949E-05,-2.111551286E-05,2.337130665E-05,-2.918752253E-05,-1.900166643E-05,2.238591777E-05,-1.918745301E-05
-1.545836712E-05,1.511804637E-05,-1.95522756E-05,-1.656557822E-05,1.364549731E-05,-2.957286929E-05,-1.283673147E-05,1.35896524E-05,-1.877207263E-05
-6.674511227E-06,2.745641988E-05,2.659768575E-05,-6.713742916E-06,2.877563095E-05,3.017135841E-05,-8.896369889E-06,3.051544619E-05,3.571301481E-05
