Node1529_X,Node1529_Y,Node1529_Z,Node1525_X,Node1525_Y,Node1525_Z,Node1524_X,Node1524_Y,Node1524_Z
-1.611341305E-05,-1.402916537E-05,-5.087189114E-05,-1.365007497E-05,-1.375747508E-05,-4.50966575E-05,-1.850832783E-05,-1.377338861E-05,-4.643619907E-05
-1.609610647E-05,-1.543516142E-05,9.580302676E-06,-1.625008197E-05,-1.523498484E-05,1.41271711E-05,-1.591013339E-05,-1.527942698E-05,1.282599769E-05
-1.607879987E-05,-1.684115749E-05,7.003249653E-05,-1.885008893E-05,-1.67124946E-05,7.33509997E-05,-1.3311939E-05,-1.678546533E-05,7.208819446E-05
-1.613491861E-05,1.412302383E-06,-6.045692866E-05,-1.35048647E-05,1.506265701E-06,-5.858725605E-05,-1.870129129E-05,1.489697604E-06,-5.992974994E-05
-1.611761203E-05,6.306316031E-09,-4.734820944E-09,-1.610487168E-05,2.875592203E-08,6.365725296E-07,-1.610309685E-05,-1.634076969E-08,-6.675532325E-07
-1.610030546E-05,-1.399689734E-06,6.044745903E-05,-1.870487865E-05,-1.448753821E-06,5.986040112E-05,-1.350490241E-05,-1.522379127E-06,5.85946435E-05
-1.615642418E-05,1.685377011E-05,-7.004196615E-05,-1.335965441E-05,1.677000645E-05,-7.207785462E-05,-1.889425474E-05,1.675278381E-05,-7.34233009E-05
-1.61391176E-05,1.544777406E-05,-9.58977235E-06,-1.595966137E-05,1.52924967E-05,-1.285402606E-05,-1.62960603E-05,1.524674544E-05,-1.416110417E-05
-1.612181103E-05,1.4041778E-05,5.086242152E-05,-1.855966837E-05,1.381498694E-05,4.636980255E-05,-1.369786586E-05,1.374070708E-05,4.510109258E-05
4.1989922E-09,-1.403547168E-05,-5.086715634E-05,2.4547967E-06,-1.3786231E-05,-4.573323001E-05,-2.405230987E-06,-1.375704784E-05,-4.57686458E-05
2.150556421E-08,-1.544146774E-05,9.585037501E-06,-1.452103025E-07,-1.526374077E-05,1.349059858E-05,1.929634523E-07,-1.526308621E-05,1.349355093E-05
3.881214566E-08,-1.684746379E-05,7.003723134E-05,-2.745217258E-06,-1.674125052E-05,7.271442715E-05,2.791157895E-06,-1.676912457E-05,7.275574766E-05
-1.730657341E-08,1.405996054E-06,-6.045219384E-05,2.600006978E-06,1.477509762E-06,-5.922382858E-05,-2.598194442E-06,1.506038366E-06,-5.926219671E-05
0,0,0,0,0,0,0,0,0
1.730657335E-08,-1.405996055E-06,6.045219384E-05,-2.600006978E-06,-1.477509762E-06,5.922382858E-05,2.598194442E-06,-1.506038366E-06,5.926219671E-05
-3.881214566E-08,1.684746379E-05,-7.003723134E-05,2.745217258E-06,1.674125052E-05,-7.271442715E-05,-2.791157895E-06,1.676912457E-05,-7.275574766E-05
-2.150556421E-08,1.544146774E-05,-9.585037501E-06,1.452103025E-07,1.526374077E-05,-1.349059858E-05,-1.929634523E-07,1.526308621E-05,-1.349355093E-05
-4.198984524E-09,1.403547169E-05,5.086715633E-05,-2.454796697E-06,1.378623101E-05,4.573323003E-05,2.405230985E-06,1.375704784E-05,4.576864583E-05
1.612181103E-05,-1.4041778E-05,-5.086242152E-05,1.855966837E-05,-1.381498694E-05,-4.636980255E-05,1.369786586E-05,-1.374070708E-05,-4.510109258E-05
1.61391176E-05,-1.544777406E-05,9.589772357E-06,1.595966136E-05,-1.52924967E-05,1.285402606E-05,1.62960603E-05,-1.524674544E-05,1.416110417E-05
1.615642416E-05,-1.685377013E-05,7.004196613E-05,1.335965438E-05,-1.677000646E-05,7.207785464E-05,1.889425464E-05,-1.67527838E-05,7.342330093E-05
1.610030545E-05,1.399689733E-06,-6.044745903E-05,1.870487865E-05,1.44875382E-06,-5.986040112E-05,1.350490241E-05,1.522379128E-06,-5.859464352E-05
1.611761203E-05,-6.306316031E-09,4.734820944E-09,1.610487168E-05,-2.875592203E-08,-6.365725296E-07,1.610309685E-05,1.634076969E-08,6.675532325E-07
1.613491861E-05,-1.412302383E-06,6.045692866E-05,1.35048647E-05,-1.506265701E-06,5.858725605E-05,1.870129129E-05,-1.489697604E-06,5.992974994E-05
1.607879988E-05,1.684115748E-05,-7.003249653E-05,1.885008893E-05,1.671249459E-05,-7.335099969E-05,1.331193897E-05,1.678546534E-05,-7.208819443E-05
1.609610647E-05,1.543516142E-05,-9.580302676E-06,1.625008197E-05,1.523498484E-05,-1.41271711E-05,1.591013339E-05,1.527942698E-05,-1.282599769E-05
3.113923287E-06,2.998291028E-05,-2.326714666E-06,5.056307638E-06,2.845824525E-05,-1.675407267E-05,4.727539283E-06,3.133127056E-05,-2.357749014E-05
-2.154203925E-05,1.597289545E-05,-5.320501131E-05,-1.930938532E-05,1.565206175E-05,-6.226398008E-05,-2.449196668E-05,1.664416435E-05,-6.962832445E-05
-3.008458872E-05,1.599204598E-05,-5.321141674E-05,-3.002500325E-05,1.660335337E-05,-6.267722999E-05,-3.520314475E-05,1.573044679E-05,-6.924295972E-05
8.505606688E-06,1.593368654E-05,-5.31928086E-05,1.327332859E-05,1.516501217E-05,-6.54816491E-05,8.083089379E-06,1.705309728E-05,-6.631268179E-05
-3.694278279E-08,1.595283705E-05,-5.319921405E-05,2.557710652E-06,1.611630377E-05,-6.589489899E-05,-2.628088754E-06,1.613937971E-05,-6.592731701E-05
-8.579492251E-06,1.597198757E-05,-5.320561949E-05,-8.157907285E-06,1.706759538E-05,-6.630814889E-05,-1.333926687E-05,1.522566215E-05,-6.554195225E-05
3.001070315E-05,1.591362809E-05,-5.318701136E-05,3.514042455E-05,1.562925416E-05,-6.911256796E-05,2.994696728E-05,1.654831262E-05,-6.261167428E-05
2.146815367E-05,1.593277859E-05,-5.31934168E-05,2.442480659E-05,1.658054575E-05,-6.952581787E-05,1.923578918E-05,1.563459506E-05,-6.222630958E-05
1.292560421E-05,1.595192911E-05,-5.319982224E-05,1.370918866E-05,1.753183736E-05,-6.993906776E-05,8.524611036E-06,1.47208775E-05,-6.184094477E-05
-1.2962547E-05,9.07870653E-10,6.081900313E-10,-1.115147802E-05,-1.415533618E-06,4.0441688E-06,-1.11526998E-05,1.418502205E-06,-4.086372202E-06
-2.150509646E-05,2.005839203E-08,-5.797270579E-09,-2.186709594E-05,-4.642420044E-07,3.630918902E-06,-2.18638779E-05,5.047846379E-07,-3.701007441E-06
